ДАННЫЕ С БИРЖИ MOEX
27.01892,USDTRY
3.575,TRYRUB
96.545,USDRUB_TOM

yapikredi https://www.yapikredi.com.tr/yatirimci-kosesi/doviz-bilgileri
Валюта,Покупка,Продажа,18.09.2023 21:53
CAD/TRY,19.9473,20.0372,19.8734,20.1134,18.09.2023 21:53
KWD/TRY,86.8521,87.9886,85.5493,89.3084,18.09.2023 21:53
NOK/TRY,2.4824,2.4991,2.4806,2.5048,18.09.2023 21:53
SAR/TRY,7.1931,7.2060,7.1391,7.2601,18.09.2023 21:53
JPY/TRY,18.2300,18.3507,18.1625,18.4204,18.09.2023 21:53
BGN/TRY,14.6300,14.8214,,,18.09.2023 21:53
RON/TRY,5.7589,5.8343,,,18.09.2023 21:53
RUB/TRY,0.27782,0.28146,,,18.09.2023 21:53
IRR/TRY,0.06388,0.06472,,,18.09.2023 21:53
CNY/TRY,3.6786,3.7267,,,18.09.2023 21:53
PKR/TRY,0.09141,0.09261,,,18.09.2023 21:53
QAR/TRY,7.3581,7.4544,,,18.09.2023 21:53
KRW/TRY,0.02024,0.02050,,,18.09.2023 21:53
AZN/TRY,15.7824,15.9890,,,18.09.2023 21:53
AED/TRY,7.3047,7.4003,,,18.09.2023 21:53

https://www.akbank.com/doviz-kurlari
AED,7.6756,7.1443,18.09.2023 21:54
AUD,18.1409,16.885,18.09.2023 21:54
CAD,20.8993,19.4507,18.09.2023 21:54
CHF,31.5074,29.4987,18.09.2023 21:54
CNY,3.9269,3.6112,18.09.2023 21:54
DKK,4.0399,3.7601,18.09.2023 21:54
EUR,30.2098,28.287,18.09.2023 21:54
GBP,35.0175,32.7861,18.09.2023 21:54
JPY,19.0841,17.7628,18.09.2023 21:54
KWD,92.693,85.2191,18.09.2023 21:54
NOK,2.6055,2.4242,18.09.2023 21:54
PLN,6.489,6.0364,18.09.2023 21:54
RON,6.0656,5.6383,18.09.2023 21:54
RUB,0.2968,0.2581,18.09.2023 21:54
SAR,7.6335,7.0184,18.09.2023 21:54
SEK,2.5261,2.3505,18.09.2023 21:54
USD,28.281,26.481,18.09.2023 21:54
XAG,20.983,19.52,18.09.2023 21:54
XAU,1747.78,1636.302,18.09.2023 21:54
XPT,848.719,785.223,18.09.2023 21:54
ZAR,1.4834,1.38,18.09.2023 21:54

https://www.anadolubank.com.tr/doviz-kurlari
AVRUPA PARA BIRIMI,28.29731,30.02639,18.09.2023 21:54
ABD DOLARI,26.4905,28.08224,18.09.2023 21:54
ALTIN,1638.17,1736.606,18.09.2023 21:54
STERLIN,32.79671,34.79908,18.09.2023 21:54
ISVICRE FRANGI,29.51328,31.31924,18.09.2023 21:54
100 JAPON YENI,17.9389,19.0236,18.09.2023 21:54
KANADA DOLARI,19.65034,20.81838,18.09.2023 21:54
NORVEC KRONU,2.44763,2.59681,18.09.2023 21:54
GÜMÜŞ,19.75109,21.02237,18.09.2023 21:54

http://www.kktcmerkezbankasi.org/tr/veriler/doviz_kurlari/kur_sorgulama

Kur Tarihi: *

Date *

 E.g., 18/09/2023



,,,18.09.2023 21:54
USD,26.93000,26.97850,18.09.2023 21:54
AUD,17.34800,17.46120,18.09.2023 21:54
DKK,3.84420,3.86310,18.09.2023 21:54
EUR,28.70980,28.76160,18.09.2023 21:54
GBP,33.40520,33.57930,18.09.2023 21:54
CHF,29.99830,30.19090,18.09.2023 21:54
SEK,2.40130,2.42610,18.09.2023 21:54
CAD,19.90630,19.99610,18.09.2023 21:54
KWD,86.67530,87.80940,18.09.2023 21:54
NOK,2.50760,2.52450,18.09.2023 21:54

https://www.iktisatbank.com/doviz-kurlari
Amerikan Doları (USD),26.8090,27.2900,18.09.2023 21:54
Euro (EUR),28.5930,29.1105,18.09.2023 21:54
İngiliz Sterlini (GBP),33.2110,33.8120,18.09.2023 21:54
Euro/Amerikan Doları ( EUR/USD),1.0477,1.0858,18.09.2023 21:54
Avustralya Doları (AUD),17.2515,17.5665,18.09.2023 21:54
Danimarka Kronu (DKK),3.8360,3.9045,18.09.2023 21:54
İsveç Kronu (SEK),2.3880,2.4300,18.09.2023 21:54
İsviçre Frangı (CHF),29.8840,30.4135,18.09.2023 21:54
Japon Yeni (JPY),0.1815,0.1850,18.09.2023 21:54
Kanada Doları (CAD),19.9000,20.2510,18.09.2023 21:54
Norveç Kronu (NOK),2.4780,2.5220,18.09.2023 21:54

https://www.ing.com.tr/tr/bilgi-destek/yatirim/doviz-kurlari
USD,25.6769,27.647598,18.09.2023 21:54
EUR,27.699871,29.778193,18.09.2023 21:54
GBP,32.453398,34.658797,18.09.2023 21:54
AUD,16.702121,18.129651,18.09.2023 21:54
DKK,3.751641,4.056998,18.09.2023 21:54
SEK,2.347101,2.549746,18.09.2023 21:54
CHF,29.355253,31.668381,18.09.2023 21:54
JPY,17.730614,19.26008,18.09.2023 21:54
CAD,19.104191,20.676757,18.09.2023 21:54
NOK,2.425441,2.634591,18.09.2023 21:54
SAR,6.893135,7.456047,18.09.2023 21:54
PLN,6.307879,6.776216,18.09.2023 21:54
RUB,0.25821,0.296689,18.09.2023 21:54
XAU,0,0,18.09.2023 21:54
ДАННЫЕ С БИРЖИ MOEX
27.01873,USDTRY
3.575,TRYRUB
96.545,USDRUB_TOM

yapikredi https://www.yapikredi.com.tr/yatirimci-kosesi/doviz-bilgileri
Валюта,Покупка,Продажа,18.09.2023 21:42
USD,26.4928,27.9483,18.09.2023 21:42
EUR,28.301,29.8516,18.09.2023 21:42
XAU,1.646.929,1.733.929,18.09.2023 21:42
GBP,32.814,34.5971,18.09.2023 21:42
AUD,17.0368,17.9904,18.09.2023 21:42
DKK,3.7971,4.0041,18.09.2023 21:42
SEK,2.3693,2.5062,18.09.2023 21:42
CHF,29.5335,31.1047,18.09.2023 21:42
JPY,0.1789,0.1895,18.09.2023 21:42
CAD,19.6258,20.727,18.09.2023 21:42
KWD,85.7524,90.4423,18.09.2023 21:42
NOK,2.4454,2.5868,18.09.2023 21:42


https://www.denizbank.com/api/marketdata/exchanges
Валюта,Покупка,Продажа,18.09.2023 21:42
USD,26.5041,27.7042,18.09.2023 21:42
EUR,28.3044,29.586,18.09.2023 21:42
GBP,32.8114,34.4512,18.09.2023 21:42
CHF,29.5157,30.9892,18.09.2023 21:42
NOK,2.4383,2.5703,18.09.2023 21:42
DKK,3.7817,3.9693,18.09.2023 21:42
SEK,2.3634,2.4815,18.09.2023 21:42
SAR,6.9261,7.3848,18.09.2023 21:42
AUD,17.0009,17.8805,18.09.2023 21:42
CAD,19.6422,20.5332,18.09.2023 21:42
KWD,85.7717,89.7104,18.09.2023 21:42
JPY,0.1785,0.18718,18.09.2023 21:42
XAU,1632.7887,1743.1958,18.09.2023 21:42
RUB,0.2619,0.2954,18.09.2023 21:42
ZAR,1.3941,1.4581,18.09.2023 21:42
XPD,1048.4585,1138.8381,18.09.2023 21:42
BHD,70.2928,73.4853,18.09.2023 21:42
IDR,0.0017236,0.0018028,18.09.2023 21:42
MXN,1.5464,1.6169,18.09.2023 21:42
KZT,0.05593,0.0586,18.09.2023 21:42
CNH,3.6341291,3.7989772,18.09.2023 21:42
QAR,7.2648744,7.5996252,18.09.2023 21:42
AED,7.2155,7.5427,18.09.2023 21:42
NPR,0.1988043,0.208353,18.09.2023 21:42
RON,5.6937,5.9572,18.09.2023 21:42
BRL,5.4656,5.7152,18.09.2023 21:42
CZK,1.1593859,1.2126837,18.09.2023 21:42
HUF,0.0737311,0.0771552,18.09.2023 21:42
NZD,15.6687643,16.4137004,18.09.2023 21:42
PLN,6.096264,6.3763795,18.09.2023 21:42
THB,0.7421375,0.7771891,18.09.2023 21:42
XAG,19.5216,21.1401,18.09.2023 21:42
INR,0.3182279,0.3326757,18.09.2023 21:42
XPT,793.1601,842.7063,18.09.2023 21:42
CNY,3.612752,3.8221704,18.09.2023 21:42
HKD,3.38945,3.5431,18.09.2023 21:42
SGD,19.4313,20.3141,18.09.2023 21:42

https://www.isbank.com.tr/doviz-kurlari
Валюта,Покупка,Продажа,18.09.2023 21:42
USD,26.3636,28.1413,18.09.2023 21:42
EUR,28.1589,30.0577,18.09.2023 21:42
GBP,32.6381,34.8389,18.09.2023 21:42
AUD,16.965,18.1089,18.09.2023 21:42
DKK,3.7776,4.0323,18.09.2023 21:42
SEK,2.3609,2.5201,18.09.2023 21:42
CHF,29.3646,31.3447,18.09.2023 21:42
JPY,0.17847,0.19051,18.09.2023 21:42
CAD,19.5416,20.8593,18.09.2023 21:42
KWD,85.319,91.0721,18.09.2023 21:42
NOK,2.4358,2.6001,18.09.2023 21:42
SAR,7.029,7.5029,18.09.2023 21:42

https://www.haremaltin.com
Название,Покупка,Продажа,18.09.2023 21:42
HAS ALTINHAS ALTIN,1.707,38,1.715,43,18.09.2023 21:42
ONSONS,1.931,7,1.932,0,18.09.2023 21:42
USD/KGUSD/KG,62.980,63.100,18.09.2023 21:42
EUR/KGEUR/KG,58.930,59.120,18.09.2023 21:42
22 AYAR22 AYAR,1.551,72,1.644,66,18.09.2023 21:42
GRAM ALTINGRAM ALTIN,1.698,84,1.720,58,18.09.2023 21:42
ALTIN GÜMÜŞALTIN GÜMÜŞ,83,20,83,27,18.09.2023 21:42
